Fecha instalación,Fecha de registro,ID del proyecto,Código del sistema,Comunidad,Municipio,Coordenadas,Tecnología,Fotos de SCALLs,Enlace Fotos en Google Drive,Número de beneficiarios / habitantes,Número de mujeres,Número de hombres,Número de niños,Número de niñas,Colaborador principal,Otro colaborador ,Financiador,Otro(s) financiador(es),Proyecto / Ministración ,Tipo de proyecto,Año (NO EDITEN),Mes (NO EDITEN
2024-03-15,,202403003,202403003-006,Santa Teresita,San Diego De La Unión,"21.3631681,-100.6124752","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/t6Yo85Ag6pRwFLQKA,,5,2,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-03-15,,202403008,202403008-001,El Pedregal,San Diego De La Unión,"21.357064,-100.6202651","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/x9YkuopYsa8MCDrZ9,,3,1,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-02-09,,202402001,202402001-001,San José del Carmen,San Luis de la Paz,"21.3323257,-100.5594008","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/BvZpgV88XCXgkuSn6,,3,2,1,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402001,202402001-002,San José del Carmen,San Luis de la Paz,"21.3296167,-100.5602099","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/TGXFWmuP4CR57x2x9,,7,4,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402001,202402001-003,San José del Carmen,San Luis de la Paz,"21.3297742,-100.561218","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/zLgWD7hpLxWBWd5F7,,6,2,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-001,La Peñita,San Luis de la Paz,"21.4201347,-100.6253223","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/FPWkEXMTTspKkGBf8,,4,3,1,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-002,La Peñita,San Luis de la Paz,"21.4213479,-100.6255173","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/wBEaD8X46Bz9jjmc8,,6,4,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-003,La Peñita,San Luis de la Paz,"21.4187413,-100.6236281","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/qRDFywDvEAwL99t19,,5,3,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-004,La Peñita,San Luis de la Paz,"21.4201765,-100.6273259","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/KyS5MM7RHpLWLg6W8,,6,3,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-005,La Peñita,San Luis de la Paz,"21.4181455,-100.6248957","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/pvE5HPUFxSZRCKPNA,,6,2,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-006,La Peñita,San Luis de la Paz,"21.4230801,-100.6245391","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/zm7B11x9uvbmQVXSA,,5,3,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-007,La Peñita,San Luis de la Paz,"21.4173417,-100.6247794","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/6tk3QDGV5vrQMi5k8,,8,5,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402002,202402002-008,La Peñita,San Luis de la Paz,"21.4173289,-100.6246737","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/tt2z71cLHrY4UmCb7,,4,2,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-001,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4390398,-100.5709058","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/aFvz9ud6tj76RMTg8,,4,1,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-002,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4388314,-100.5719668","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/2gvzALiMyorvppsJ7,,13,8,5,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-003,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.437113,-100.5704101","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/JgWaZAgJBaurrQDK9,,3,1,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-004,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4376849,-100.572878","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/uxsBxDqg7bsMydm69,,3,3,0,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-005,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4371959,-100.5721083","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/SqXjXrd7qMwo4Bfh7,,5,4,1,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-006,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4394193,-100.5748834","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/NeuXYZsdqJXQbrFw9,,5,1,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402003,202402003-007,Matancillas (Puerto de Matancillas),San Luis de la Paz,"21.4381885,-100.5707214","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/pePziGmjX4o9TgRN9,,7,5,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402004,202402004-001,Las Negritas,San Luis de la Paz,"21.4578572,-100.6077837","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/WD1yYeZe8q8EY9nk7,,6,4,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402004,202402004-002,Las Negritas,San Luis de la Paz,"21.4548456,-100.6053669","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/pK1skfsSoo23NSbS7,,3,1,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402004,202402004-003,Las Negritas,San Luis de la Paz,"21.4573577,-100.6079689","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/46bbBKcdE73LU9sz5,,5,2,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402005,202402005-001,La Vaciada,San Luis de la Paz,"21.3792904,-100.5805869","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/DRFwsMbHQZtw3GVC6,,6,3,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402005,202402005-002,La Vaciada,San Luis de la Paz,"21.3794865,-100.580222","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/bjU3WXpFxZ8ApKPh7,,6,4,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402005,202402005-003,La Vaciada,San Luis de la Paz,"21.3791371,-100.5799614","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/tGgxCwJ3YLDLhLC1A,,3,3,0,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402005,202402005-004,La Vaciada,San Luis de la Paz,"21.3790299,-100.5822024","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/5k6sHhAex3jPxyZ39,,9,5,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402006,202402006-001,Pozo Hondo,San Luis de la Paz,"21.4053389,-100.6092972","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/zGTLA9WwWy13pSbe7,,5,3,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402006,202402006-002,Pozo Hondo,San Luis de la Paz,"21.4046217,-100.6085829","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/n4oxURHSEaZzN8wC9,,3,2,1,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202402006,202402006-003,Pozo Hondo,San Luis de la Paz,"21.4055816,-100.6068915","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/uAVmgRpaf4B1ReWJ7,,9,6,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-16,,202402007,202402007-001,Adjuntas de San José,San Luis de la Paz,"21.491502,-100.6611452","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/XVNW1o3JFCBTXLBk7,,5,1,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-16,,202402007,202402007-002,Adjuntas de San José,San Luis de la Paz,"21.4874519,-100.6652666","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/9q4qEgjyjCUJcpRYA,,3,1,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
